,ligand,receptor,JS_Treg,JS_Th0,delta,frac_pos_Treg,frac_pos_Th0,mean_recep_Treg,mean_recep_Th0,mean_lig,n_Treg,n_Th0
109,Il6,Il6st,0.567718939772033,0.6685904150375482,-0.10087147526551521,0.5753504672897196,0.5950468540829986,5.027000427246094,5.429786682128906,0.08919306099414825,1712,1494
110,Fn1,Itgb3,0.6555960954212263,0.756560786026977,-0.10096469060575064,0.2716121495327103,0.16934404283801874,2.3167808055877686,1.4891140460968018,5.665269374847412,1712,1494
111,F11r,F11r,0.6843321507800617,0.7853633286843703,-0.1010311779043086,0.22488317757009346,0.14190093708165996,1.8808653354644775,1.2172679901123047,4.302900314331055,1712,1494
112,Il13,Il13ra1,0.8070269014404317,0.9095985219097333,-0.10257162046930168,0.1022196261682243,0.04417670682730924,0.8362829089164734,0.36943909525871277,0.05204610526561737,1712,1494
113,Tnc,Itgb3,0.6714576287363769,0.7745146729362845,-0.10305704419990758,0.2716121495327103,0.16934404283801874,2.3167808055877686,1.4891140460968018,1.6642721891403198,1712,1494
114,Thy1,Itgav,0.5069460644139504,0.6101281431550488,-0.10318207874109842,0.5531542056074766,0.3828647925033467,4.7819132804870605,3.3525912761688232,1.0864776372909546,1712,1494
115,Il7,Il2rg,0.507417308102481,0.6106956896096627,-0.10327838150718172,0.8276869158878505,0.7161981258366801,7.5729546546936035,6.6432318687438965,0.25374677777290344,1712,1494
116,Vtn,Itgb1,0.5618280040010248,0.6651076192753024,-0.10327961527427754,0.6816588785046729,0.6572958500669344,6.052483558654785,6.162197113037109,0.20507098734378815,1712,1494
117,Cdh1,Cdh1,0.7096764509036764,0.8132109210700154,-0.10353447016633899,0.1875,0.10575635876840696,1.5670698881149292,0.9086883068084717,3.2274091243743896,1712,1494
118,Cxcl9,Cxcr3,0.6439054800444077,0.747469470279953,-0.1035639902355453,0.2517523364485981,0.17670682730923695,2.1766631603240967,1.5541406869888306,0.39779457449913025,1712,1494
119,Lamc2,Itga3,0.6769351371435202,0.7805621318399868,-0.10362699469646663,0.2324766355140187,0.14190093708165996,1.9567375183105469,1.2199097871780396,2.041736364364624,1712,1494
120,Lamb1,Itgb1,0.5149968000045603,0.6191496938604889,-0.10415289385592863,0.6816588785046729,0.6572958500669344,6.052483558654785,6.162197113037109,1.9755010604858398,1712,1494
121,Tgfb3,Tgfbr2,0.48603892902260215,0.5912685912681228,-0.10522966224552066,0.740070093457944,0.6894243641231593,6.59084415435791,6.4028801918029785,1.9078963994979858,1712,1494
122,Itga9,Itgb1,0.5124731188026278,0.6177995467585691,-0.10532642795594127,0.6816588785046729,0.6572958500669344,6.052483558654785,6.162197113037109,2.0229880809783936,1712,1494
123,C3,Itgax,0.6368329429965481,0.7442693524288345,-0.10743640943228638,0.2908878504672897,0.17336010709504684,2.515066623687744,1.523453712463379,6.418166637420654,1712,1494
124,Dll4,Notch1,0.5839632537358785,0.6914416541562555,-0.10747840042037693,0.4894859813084112,0.4350736278447122,4.200056552886963,3.813051700592041,1.4849385023117065,1712,1494
125,Icam1,Itgax,0.640989718083618,0.7487695068414731,-0.1077797887578551,0.2908878504672897,0.17336010709504684,2.515066623687744,1.523453712463379,4.34319543838501,1712,1494
126,Col4a1,Itgb1,0.5113189409916704,0.6198792219113991,-0.10856028091972869,0.6816588785046729,0.6572958500669344,6.052483558654785,6.162197113037109,7.091513156890869,1712,1494
127,Icam2,Itgal,0.5380631687071992,0.6470794034362469,-0.10901623472904776,0.7184579439252337,0.7710843373493976,6.370395660400391,7.292726993560791,2.6659114360809326,1712,1494
128,Tslp,Il7r,0.5846971746405019,0.695414860356721,-0.1107176857162191,0.4994158878504673,0.4062918340026774,4.394804000854492,3.715707778930664,0.35599657893180847,1712,1494
129,Lama3,Itgb1,0.5363059043428242,0.6471505177823078,-0.1108446134394836,0.6816588785046729,0.6572958500669344,6.052483558654785,6.162197113037109,1.4434186220169067,1712,1494
130,Cxcl10,Cxcr3,0.6519260156821495,0.7633475078399916,-0.11142149215784214,0.2517523364485981,0.17670682730923695,2.1766631603240967,1.5541406869888306,0.2894594967365265,1712,1494
131,Dll1,Notch2,0.6280743803802499,0.7395672008731601,-0.1114928204929102,0.3662383177570093,0.3253012048192771,3.085585594177246,2.832099199295044,1.0893017053604126,1712,1494
132,Jam3,Itgb2,0.49839763676575505,0.6106075703132178,-0.11220993354746273,0.804322429906542,0.7014725568942436,7.26543664932251,6.4725189208984375,0.3635479509830475,1712,1494
